Region,Offset,Motif,Count,Total
FG-siren_only,±1.0kb,FG-siren_03,59,170
FG-siren_only,±1.0kb,FG-siren_04,43,170
FG-siren_only,±1.0kb,FG-siren_05,40,170
FG-siren_only,±1.0kb,FG-siren_06,28,170
FG-siren_only,±1.0kb,FG-siren_07,42,170
FG-siren_only,±1.0kb,FG-siren_08,54,170
FG-siren_only,±1.0kb,FG-siren_09,61,170
FG-siren_only,±1.0kb,FG-siren_10,53,170
FG-siren_only,±2.0kb,FG-dDMR_01,113,170
FG-siren_only,±2.0kb,FG-dDMR_02,5,170
FG-siren_only,±2.0kb,FG-dDMR_03,56,170
FG-siren_only,±2.0kb,FG-dDMR_04,97,170
FG-siren_only,±2.0kb,FG-dDMR_05,80,170
FG-siren_only,±2.0kb,FG-dDMR_06,36,170
FG-siren_only,±2.0kb,FG-dDMR_07,41,170
FG-siren_only,±2.0kb,FG-dDMR_08,98,170
FG-siren_only,±2.0kb,FG-dDMR_09,49,170
FG-siren_only,±2.0kb,FG-dDMR_10,56,170
FG-siren_only,±2.0kb,FG-dDMR_11,91,170
FG-siren_only,±2.0kb,FG-dDMR_12,112,170
FG-siren_only,±2.0kb,FG-dDMR_13,97,170
FG-siren_only,±2.0kb,FG-dDMR_14,7,170
FG-siren_only,±2.0kb,FG-dDMR_15,58,170
FG-siren_only,±2.0kb,FG-dDMR_16,79,170
FG-siren_only,±2.0kb,FG-dDMR_17,62,170
FG-siren_only,±2.0kb,FG-dDMR_18,58,170
FG-siren_only,±2.0kb,FG-dDMR_19,65,170
FG-siren_only,±2.0kb,FG-dDMR_20,61,170
FG-siren_only,±2.0kb,FG-dDMR_21,113,170
FG-siren_only,±2.0kb,FG-dDMR_22,77,170
FG-siren_only,±2.0kb,FG-dDMR_23,88,170
FG-siren_only,±2.0kb,FG-dDMR_24,87,170
FG-siren_only,±2.0kb,FG-siren_01,143,170
FG-siren_only,±2.0kb,FG-siren_02,84,170
FG-siren_only,±2.0kb,FG-siren_03,84,170
FG-siren_only,±2.0kb,FG-siren_04,62,170
FG-siren_only,±2.0kb,FG-siren_05,66,170
FG-siren_only,±2.0kb,FG-siren_06,47,170
FG-siren_only,±2.0kb,FG-siren_07,64,170
FG-siren_only,±2.0kb,FG-siren_08,80,170
FG-siren_only,±2.0kb,FG-siren_09,97,170
FG-siren_only,±2.0kb,FG-siren_10,84,170
Shuffle,±0.0kb,FG-dDMR_01,93,835
Shuffle,±0.0kb,FG-dDMR_02,6,835
Shuffle,±0.0kb,FG-dDMR_03,58,835
Shuffle,±0.0kb,FG-dDMR_04,82,835
Shuffle,±0.0kb,FG-dDMR_05,84,835
Shuffle,±0.0kb,FG-dDMR_06,27,835
Shuffle,±0.0kb,FG-dDMR_07,56,835
Shuffle,±0.0kb,FG-dDMR_08,92,835
Shuffle,±0.0kb,FG-dDMR_09,36,835
Shuffle,±0.0kb,FG-dDMR_10,46,835
Shuffle,±0.0kb,FG-dDMR_11,68,835
Shuffle,±0.0kb,FG-dDMR_12,108,835
Shuffle,±0.0kb,FG-dDMR_13,96,835
Shuffle,±0.0kb,FG-dDMR_14,6,835
Shuffle,±0.0kb,FG-dDMR_15,71,835
Shuffle,±0.0kb,FG-dDMR_16,84,835
Shuffle,±0.0kb,FG-dDMR_17,60,835
Shuffle,±0.0kb,FG-dDMR_18,29,835
Shuffle,±0.0kb,FG-dDMR_19,51,835
Shuffle,±0.0kb,FG-dDMR_20,53,835
Shuffle,±0.0kb,FG-dDMR_21,119,835
