File,Sample,Expression,Context
FG6-2_S12_2nd_CHH.txt,FG6-2_S12,2nd,CHH
FG6-2_S12_4th_CpG.txt,FG6-2_S12,4th,CpG
FG6-2_S12_4th_CHG.txt,FG6-2_S12,4th,CHG
FG6-2_S12_4th_CHH.txt,FG6-2_S12,4th,CHH
FG6-2_S12_6th_CpG.txt,FG6-2_S12,6th,CpG
FG6-2_S12_6th_CHG.txt,FG6-2_S12,6th,CHG
FG6-2_S12_6th_CHH.txt,FG6-2_S12,6th,CHH
FG6-2_S12_8th_CpG.txt,FG6-2_S12,8th,CpG
FG6-2_S12_8th_CHG.txt,FG6-2_S12,8th,CHG
FG6-2_S12_8th_CHH.txt,FG6-2_S12,8th,CHH
FG6-2_S12_10th_CpG.txt,FG6-2_S12,10th,CpG
FG6-2_S12_10th_CHG.txt,FG6-2_S12,10th,CHG
FG6-2_S12_10th_CHH.txt,FG6-2_S12,10th,CHH
FL-1_S13_NoExp_CpG.txt,FL-1_S13,NoExp,CpG
FL-1_S13_NoExp_CHG.txt,FL-1_S13,NoExp,CHG
FL-1_S13_NoExp_CHH.txt,FL-1_S13,NoExp,CHH
FL-1_S13_2nd_CpG.txt,FL-1_S13,2nd,CpG
FL-1_S13_2nd_CHG.txt,FL-1_S13,2nd,CHG
FL-1_S13_2nd_CHH.txt,FL-1_S13,2nd,CHH
FL-1_S13_4th_CpG.txt,FL-1_S13,4th,CpG
FL-1_S13_4th_CHG.txt,FL-1_S13,4th,CHG
FL-1_S13_4th_CHH.txt,FL-1_S13,4th,CHH
FL-1_S13_6th_CpG.txt,FL-1_S13,6th,CpG
FL-1_S13_6th_CHG.txt,FL-1_S13,6th,CHG
FL-1_S13_6th_CHH.txt,FL-1_S13,6th,CHH
FL-1_S13_8th_CpG.txt,FL-1_S13,8th,CpG
FL-1_S13_8th_CHG.txt,FL-1_S13,8th,CHG
FL-1_S13_8th_CHH.txt,FL-1_S13,8th,CHH
FL-1_S13_10th_CpG.txt,FL-1_S13,10th,CpG
FL-1_S13_10th_CHG.txt,FL-1_S13,10th,CHG
FL-1_S13_10th_CHH.txt,FL-1_S13,10th,CHH
FL-2_S14_NoExp_CpG.txt,FL-2_S14,NoExp,CpG
FL-2_S14_NoExp_CHG.txt,FL-2_S14,NoExp,CHG
FL-2_S14_NoExp_CHH.txt,FL-2_S14,NoExp,CHH
FL-2_S14_2nd_CpG.txt,FL-2_S14,2nd,CpG
FL-2_S14_2nd_CHG.txt,FL-2_S14,2nd,CHG
FL-2_S14_2nd_CHH.txt,FL-2_S14,2nd,CHH
FL-2_S14_4th_CpG.txt,FL-2_S14,4th,CpG
FL-2_S14_4th_CHG.txt,FL-2_S14,4th,CHG
FL-2_S14_4th_CHH.txt,FL-2_S14,4th,CHH
FL-2_S14_6th_CpG.txt,FL-2_S14,6th,CpG
FL-2_S14_6th_CHG.txt,FL-2_S14,6th,CHG
FL-2_S14_6th_CHH.txt,FL-2_S14,6th,CHH
FL-2_S14_8th_CpG.txt,FL-2_S14,8th,CpG
FL-2_S14_8th_CHG.txt,FL-2_S14,8th,CHG
FL-2_S14_8th_CHH.txt,FL-2_S14,8th,CHH
FL-2_S14_10th_CpG.txt,FL-2_S14,10th,CpG
FL-2_S14_10th_CHG.txt,FL-2_S14,10th,CHG
FL-2_S14_10th_CHH.txt,FL-2_S14,10th,CHH
